MemberCreate,会员正向创建
MemberCreateInit,会员创建后数据初始化
MemberUpdate,会员正向更新
MemberQuery,会员正向查询
MemberQrCode,会员二维码正向查询
MemberSourceChange,会员归属店铺正向更新
MemberChangeBind,会员正向换绑
MemberReverseCreate,会员逆向创建
MemberReverseQuery,会员逆向查询
MemberReverseUpdate,会员逆向更新
MemberReverseSourceChange,会员归属店铺逆向更新
MemberReverseQrDecode,会员二维码逆向解码
LevelQuery,等级正向查询
LevelUpdate,等级正向更新
LevelInit,等级初始化
LevelReverseUpdate,等级逆向更新
PointGet,积分正向查询
PointLogGet,积分流水日志正向查询
PointInit,积分正向初始化
PointIncrease,积分正向增加
PointDecrease,积分正向减少
PointFreeze,积分正向冻结
PointUnfreeze,积分正向解冻
PointConsume,积分正向消耗
PointRevert,积分正向回补
PointReverseQuery,积分逆向查询
PointReverseQueryLog,积分逆向查询日志
PointReverseInit,积分逆向初始化
PointReverseIncrease,积分逆向增加
PointReverseDecrease,积分逆向减少
PointReverseFreeze,积分逆向冻结
PointReverseUnfreeze,积分逆向解冻
PointReverseConsume,积分逆向消耗
PointReverseRevert,积分逆向回补
GrowthInit,成长值正向初始化
GrowthGet,成长值正向查询
GrowthIncrease,成长值正向增加
GrowthDecrease,成长值正向减少
GrowthReverseInit,成长值逆向初始化
GrowthReverseGet,成长值逆向查询
GrowthReverseIncrease,成长值逆向增加
GrowthReverseDecrease,成长值逆向减少
LevelRecalculate,等级重算
